int_match_id,date,competition,opponent,location,window_start,window_end
1,2024-02-02,Six Nations 2024,Ireland,Marseille,2024-01-29,2024-02-05
2,2024-02-10,Six Nations 2024,Scotland,Murrayfield,2024-02-06,2024-02-12
3,2024-02-24,Six Nations 2024,Italy,Rome,2024-02-20,2024-02-26
4,2024-03-09,Six Nations 2024,Wales,Cardiff,2024-03-05,2024-03-11
5,2024-03-16,Six Nations 2024,England,Lyon,2024-03-12,2024-03-18
6,2024-07-06,Summer Tour 2024,Argentina,Buenos Aires,2024-06-30,2024-07-08
7,2024-07-13,Summer Tour 2024,Argentina,Buenos Aires,2024-07-08,2024-07-15
8,2024-11-09,Autumn Int. 2024,Japan,Paris,2024-11-04,2024-11-11
9,2024-11-16,Autumn Int. 2024,New Zealand,Paris,2024-11-11,2024-11-18
10,2024-11-23,Autumn Int. 2024,Argentina,Paris,2024-11-18,2024-11-25
