match_id,season,round,venue,home_team,away_team,url,is_playoff
8106,2017-2018,1,Stade Charles-Mathon,Oyonnax Rugby,Stade Toulousain,https://top14.lnr.fr/feuille-de-match/2017-2018/j1/8106-oyonnax-toulouse,0
8107,2017-2018,1,Stade Amédée-Domenech,CA Brive,Stade Rochelais,https://top14.lnr.fr/feuille-de-match/2017-2018/j1/8107-brive-la-rochelle,0
8108,2017-2018,1,GGL Stadium,Montpellier Hérault Rugby,SU Agen,https://top14.lnr.fr/feuille-de-match/2017-2018/j1/8108-montpellier-agen,0
8109,2017-2018,1,Paris La Défense Arena,Racing 92,Castres Olympique,https://top14.lnr.fr/feuille-de-match/2017-2018/j1/8109-racing-92-castres,0
8110,2017-2018,1,Stade Jean-Bouin,Stade Français Paris,LOU Rugby,https://top14.lnr.fr/feuille-de-match/2017-2018/j1/8110-paris-lyon,0
8111,2017-2018,1,Stade Chaban-Delmas,Union Bordeaux-Bègles,ASM Clermont,https://top14.lnr.fr/feuille-de-match/2017-2018/j1/8111-bordeaux-begles-clermont,0
8112,2017-2018,1,Stade Mayol,RC Toulon,Section Paloise,https://top14.lnr.fr/feuille-de-match/2017-2018/j1/8112-toulon-pau,0
8113,2017-2018,2,Stade Armandie,SU Agen,Racing 92,https://top14.lnr.fr/feuille-de-match/2017-2018/j2/8113-agen-racing-92,0
8114,2017-2018,2,Stade Jean-Bouin,Stade Français Paris,Stade Rochelais,https://top14.lnr.fr/feuille-de-match/2017-2018/j2/8114-paris-la-rochelle,0
8115,2017-2018,2,Stade Pierre-Fabre,Castres Olympique,Union Bordeaux-Bègles,https://top14.lnr.fr/feuille-de-match/2017-2018/j2/8115-castres-bordeaux-begles,0
8116,2017-2018,2,Stade de Gerland,LOU Rugby,CA Brive,https://top14.lnr.fr/feuille-de-match/2017-2018/j2/8116-lyon-brive,0
8117,2017-2018,2,GGL Stadium,Montpellier Hérault Rugby,Oyonnax Rugby,https://top14.lnr.fr/feuille-de-match/2017-2018/j2/8117-montpellier-oyonnax,0
8118,2017-2018,2,Stade Ernest-Wallon,Stade Toulousain,Section Paloise,https://top14.lnr.fr/feuille-de-match/2017-2018/j2/8118-toulouse-pau,0
8119,2017-2018,2,Stade Marcel-Michelin,ASM Clermont,RC Toulon,https://top14.lnr.fr/feuille-de-match/2017-2018/j2/8119-clermont-toulon,0
8120,2017-2018,3,Stade Marcel-Deflandre,Stade Rochelais,ASM Clermont,https://top14.lnr.fr/feuille-de-match/2017-2018/j3/8120-la-rochelle-clermont,0
8121,2017-2018,3,Stade Amédée-Domenech,CA Brive,Racing 92,https://top14.lnr.fr/feuille-de-match/2017-2018/j3/8121-brive-racing-92,0
8122,2017-2018,3,Stade Charles-Mathon,Oyonnax Rugby,SU Agen,https://top14.lnr.fr/feuille-de-match/2017-2018/j3/8122-oyonnax-agen,0
8123,2017-2018,3,Stade Chaban-Delmas,Union Bordeaux-Bègles,Stade Français Paris,https://top14.lnr.fr/feuille-de-match/2017-2018/j3/8123-bordeaux-begles-paris,0
8124,2017-2018,3,Stade Pierre-Fabre,Castres Olympique,Montpellier Hérault Rugby,https://top14.lnr.fr/feuille-de-match/2017-2018/j3/8124-castres-montpellier,0
8125,2017-2018,3,Stade du Hameau,Section Paloise,LOU Rugby,https://top14.lnr.fr/feuille-de-match/2017-2018/j3/8125-pau-lyon,0
8126,2017-2018,3,Stade Mayol,RC Toulon,Stade Toulousain,https://top14.lnr.fr/feuille-de-match/2017-2018/j3/8126-toulon-toulouse,0
8127,2017-2018,4,Stade Ernest-Wallon,Stade Toulousain,Stade Français Paris,https://top14.lnr.fr/feuille-de-match/2017-2018/j4/8127-toulouse-paris,0
8128,2017-2018,4,Stade de Gerland,LOU Rugby,Union Bordeaux-Bègles,https://top14.lnr.fr/feuille-de-match/2017-2018/j4/8128-lyon-bordeaux-begles,0
8129,2017-2018,4,Stade du Hameau,Section Paloise,Castres Olympique,https://top14.lnr.fr/feuille-de-match/2017-2018/j4/8129-pau-castres,0
8130,2017-2018,4,Stade Armandie,SU Agen,Stade Rochelais,https://top14.lnr.fr/feuille-de-match/2017-2018/j4/8130-agen-la-rochelle,0
8131,2017-2018,4,Stade Marcel-Michelin,ASM Clermont,CA Brive,https://top14.lnr.fr/feuille-de-match/2017-2018/j4/8131-clermont-brive,0
8132,2017-2018,4,Paris La Défense Arena,Racing 92,Oyonnax Rugby,https://top14.lnr.fr/feuille-de-match/2017-2018/j4/8132-racing-92-oyonnax,0
8133,2017-2018,4,GGL Stadium,Montpellier Hérault Rugby,RC Toulon,https://top14.lnr.fr/feuille-de-match/2017-2018/j4/8133-montpellier-toulon,0
8134,2017-2018,5,Stade Marcel-Michelin,ASM Clermont,Racing 92,https://top14.lnr.fr/feuille-de-match/2017-2018/j5/8134-clermont-racing-92,0
8135,2017-2018,5,Stade Marcel-Deflandre,Stade Rochelais,Oyonnax Rugby,https://top14.lnr.fr/feuille-de-match/2017-2018/j5/8135-la-rochelle-oyonnax,0
8136,2017-2018,5,Stade Armandie,SU Agen,Section Paloise,https://top14.lnr.fr/feuille-de-match/2017-2018/j5/8136-agen-pau,0
8137,2017-2018,5,Stade Chaban-Delmas,Union Bordeaux-Bègles,Montpellier Hérault Rugby,https://top14.lnr.fr/feuille-de-match/2017-2018/j5/8137-bordeaux-begles-montpellier,0
8138,2017-2018,5,Stade Amédée-Domenech,CA Brive,Stade Toulousain,https://top14.lnr.fr/feuille-de-match/2017-2018/j5/8138-brive-toulouse,0
8139,2017-2018,5,Stade de Gerland,LOU Rugby,Castres Olympique,https://top14.lnr.fr/feuille-de-match/2017-2018/j5/8139-lyon-castres,0
8140,2017-2018,5,Stade Jean-Bouin,Stade Français Paris,RC Toulon,https://top14.lnr.fr/feuille-de-match/2017-2018/j5/8140-paris-toulon,0
8141,2017-2018,6,Stade Mayol,RC Toulon,Stade Rochelais,https://top14.lnr.fr/feuille-de-match/2017-2018/j6/8141-toulon-la-rochelle,0
8142,2017-2018,6,Stade Charles-Mathon,Oyonnax Rugby,Union Bordeaux-Bègles,https://top14.lnr.fr/feuille-de-match/2017-2018/j6/8142-oyonnax-bordeaux-begles,0
8143,2017-2018,6,Stade du Hameau,Section Paloise,Stade Français Paris,https://top14.lnr.fr/feuille-de-match/2017-2018/j6/8143-pau-paris,0
8144,2017-2018,6,Stade Ernest-Wallon,Stade Toulousain,SU Agen,https://top14.lnr.fr/feuille-de-match/2017-2018/j6/8144-toulouse-agen,0
8145,2017-2018,6,Paris La Défense Arena,Racing 92,LOU Rugby,https://top14.lnr.fr/feuille-de-match/2017-2018/j6/8145-racing-92-lyon,0
8146,2017-2018,6,GGL Stadium,Montpellier Hérault Rugby,CA Brive,https://top14.lnr.fr/feuille-de-match/2017-2018/j6/8146-montpellier-brive,0
8147,2017-2018,6,Stade Pierre-Fabre,Castres Olympique,ASM Clermont,https://top14.lnr.fr/feuille-de-match/2017-2018/j6/8147-castres-clermont,0
8148,2017-2018,7,Stade Jean-Bouin,Stade Français Paris,Montpellier Hérault Rugby,https://top14.lnr.fr/feuille-de-match/2017-2018/j7/8148-paris-montpellier,0
8149,2017-2018,7,Stade Chaban-Delmas,Union Bordeaux-Bègles,RC Toulon,https://top14.lnr.fr/feuille-de-match/2017-2018/j7/8149-bordeaux-begles-toulon,0
8150,2017-2018,7,Stade Amédée-Domenech,CA Brive,Castres Olympique,https://top14.lnr.fr/feuille-de-match/2017-2018/j7/8150-brive-castres,0
8151,2017-2018,7,Stade Charles-Mathon,Oyonnax Rugby,Section Paloise,https://top14.lnr.fr/feuille-de-match/2017-2018/j7/8151-oyonnax-pau,0
8152,2017-2018,7,Stade Armandie,SU Agen,LOU Rugby,https://top14.lnr.fr/feuille-de-match/2017-2018/j7/8152-agen-lyon,0
8153,2017-2018,7,Stade Marcel-Deflandre,Stade Rochelais,Racing 92,https://top14.lnr.fr/feuille-de-match/2017-2018/j7/8153-la-rochelle-racing-92,0
8154,2017-2018,7,Stade Ernest-Wallon,Stade Toulousain,ASM Clermont,https://top14.lnr.fr/feuille-de-match/2017-2018/j7/8154-toulouse-clermont,0
8155,2017-2018,8,Stade Mayol,RC Toulon,CA Brive,https://top14.lnr.fr/feuille-de-match/2017-2018/j8/8155-toulon-brive,0
8156,2017-2018,8,Stade de Gerland,LOU Rugby,Oyonnax Rugby,https://top14.lnr.fr/feuille-de-match/2017-2018/j8/8156-lyon-oyonnax,0
8157,2017-2018,8,Paris La Défense Arena,Racing 92,Union Bordeaux-Bègles,https://top14.lnr.fr/feuille-de-match/2017-2018/j8/8157-racing-92-bordeaux-begles,0
8158,2017-2018,8,Stade du Hameau,Section Paloise,Montpellier Hérault Rugby,https://top14.lnr.fr/feuille-de-match/2017-2018/j8/8158-pau-montpellier,0
8159,2017-2018,8,Stade Marcel-Michelin,ASM Clermont,Stade Français Paris,https://top14.lnr.fr/feuille-de-match/2017-2018/j8/8159-clermont-paris,0
8160,2017-2018,8,Stade Pierre-Fabre,Castres Olympique,SU Agen,https://top14.lnr.fr/feuille-de-match/2017-2018/j8/8160-castres-agen,0
8161,2017-2018,8,Stade Marcel-Deflandre,Stade Rochelais,Stade Toulousain,https://top14.lnr.fr/feuille-de-match/2017-2018/j8/8161-la-rochelle-toulouse,0
8162,2017-2018,9,Stade Ernest-Wallon,Stade Toulousain,Union Bordeaux-Bègles,https://top14.lnr.fr/feuille-de-match/2017-2018/j9/8162-toulouse-bordeaux-begles,0
8163,2017-2018,9,Stade de Gerland,LOU Rugby,Stade Rochelais,https://top14.lnr.fr/feuille-de-match/2017-2018/j9/8163-lyon-la-rochelle,0
8164,2017-2018,9,Stade Charles-Mathon,Oyonnax Rugby,Castres Olympique,https://top14.lnr.fr/feuille-de-match/2017-2018/j9/8164-oyonnax-castres,0
8165,2017-2018,9,Paris La Défense Arena,Racing 92,Section Paloise,https://top14.lnr.fr/feuille-de-match/2017-2018/j9/8165-racing-92-pau,0
8166,2017-2018,9,Stade Armandie,SU Agen,RC Toulon,https://top14.lnr.fr/feuille-de-match/2017-2018/j9/8166-agen-toulon,0
8167,2017-2018,9,Stade Amédée-Domenech,CA Brive,Stade Français Paris,https://top14.lnr.fr/feuille-de-match/2017-2018/j9/8167-brive-paris,0
8168,2017-2018,9,GGL Stadium,Montpellier Hérault Rugby,ASM Clermont,https://top14.lnr.fr/feuille-de-match/2017-2018/j9/8168-montpellier-clermont,0
8169,2017-2018,10,Stade Marcel-Michelin,ASM Clermont,LOU Rugby,https://top14.lnr.fr/feuille-de-match/2017-2018/j10/8169-clermont-lyon,0
8170,2017-2018,10,Stade Pierre-Fabre,Castres Olympique,Stade Rochelais,https://top14.lnr.fr/feuille-de-match/2017-2018/j10/8170-castres-la-rochelle,0
