player_name,int_window_id,season,competition
Martín Landajo,RC17,2017-2018,Rugby Championship
Israel Folau,RC17,2017-2018,Rugby Championship
Sonny Bill Williams,RC17,2017-2018,Rugby Championship
Courtnall Skosan,RC17,2017-2018,Rugby Championship
Matías Orlando,RC17,2017-2018,Rugby Championship
Jaco Kriel,RC17,2017-2018,Rugby Championship
Pieter-Steph du Toit,RC17,2017-2018,Rugby Championship
Leonardo Senatore,RC17,2017-2018,Rugby Championship
Siya Kolisi,RC17,2017-2018,Rugby Championship
Damian de Allende,RC17,2017-2018,Rugby Championship
Andries Coetzee,RC17,2017-2018,Rugby Championship
Nahuel Tetaz Chaparro,RC17,2017-2018,Rugby Championship
Trevor Nyakane,RC17,2017-2018,Rugby Championship
Israel Dagg,RC17,2017-2018,Rugby Championship
Santiago Cordero,RC17,2017-2018,Rugby Championship
Jack Dempsey,RC17,2017-2018,Rugby Championship
Marika Koroibete,RC17,2017-2018,Rugby Championship
Santiago García Botta,RC17,2017-2018,Rugby Championship
Samu Kerevi,RC17,2017-2018,Rugby Championship
Ruan Dreyer,RC17,2017-2018,Rugby Championship
Nehe Milner-Skudder,RC17,2017-2018,Rugby Championship
Nick Phipps,RC17,2017-2018,Rugby Championship
Vaea Fifita,RC17,2017-2018,Rugby Championship
Lima Sopoaga,RC17,2017-2018,Rugby Championship
Jerónimo de la Fuente,RC17,2017-2018,Rugby Championship
Scott Barrett,RC17,2017-2018,Rugby Championship
Jan Serfontein,RC17,2017-2018,Rugby Championship
Jean-Luc du Preez,RC17,2017-2018,Rugby Championship
Reece Hodge,RC17,2017-2018,Rugby Championship
Patrick Tuipulotu,RC17,2017-2018,Rugby Championship
Sekope Kepu,RC17,2017-2018,Rugby Championship
Julián Montoya,RC17,2017-2018,Rugby Championship
Lood de Jager,RC17,2017-2018,Rugby Championship
Nathan Harris,RC17,2017-2018,Rugby Championship
Joe Moody,RC17,2017-2018,Rugby Championship
Ramiro Moyano,RC17,2017-2018,Rugby Championship
Tatafu Polota-Nau,RC17,2017-2018,Rugby Championship
Malcolm Marx,RC17,2017-2018,Rugby Championship
Raymond Rhule,RC17,2017-2018,Rugby Championship
Rob Simmons,RC17,2017-2018,Rugby Championship
Lukhan Tui,RC17,2017-2018,Rugby Championship
Bernard Foley,RC17,2017-2018,Rugby Championship
Will Genia,RC17,2017-2018,Rugby Championship
Scott Sio,RC17,2017-2018,Rugby Championship
Javier Ortega Desio,RC17,2017-2018,Rugby Championship
Ross Cronjé,RC17,2017-2018,Rugby Championship
Stephen Moore,RC17,2017-2018,Rugby Championship
Izack Rodda,RC17,2017-2018,Rugby Championship
Tetera Faulkner,RC17,2017-2018,Rugby Championship
Damian McKenzie,RC17,2017-2018,Rugby Championship
Lucas Noguera Paz,RC17,2017-2018,Rugby Championship
Ngani Laumape,RC17,2017-2018,Rugby Championship
Waisake Naholo,RC17,2017-2018,Rugby Championship
Michael Hooper,RC17,2017-2018,Rugby Championship
Matías Moroni,RC17,2017-2018,Rugby Championship
Uzair Cassiem,RC17,2017-2018,Rugby Championship
Pablo Matera,RC17,2017-2018,Rugby Championship
Juan Manuel Leguizamón,RC17,2017-2018,Rugby Championship
Tomás Lezana,RC17,2017-2018,Rugby Championship
Anton Lienert-Brown,RC17,2017-2018,Rugby Championship
Francois Hougaard,RC17,2017-2018,Rugby Championship
Sam Cane,RC17,2017-2018,Rugby Championship
Dillyn Leyds,RC17,2017-2018,Rugby Championship
Santiago González Iglesias,RC17,2017-2018,Rugby Championship
Handré Pollard,RC17,2017-2018,Rugby Championship
Kurtley Beale,RC17,2017-2018,Rugby Championship
Nepo Laulala,RC17,2017-2018,Rugby Championship
Marcos Kremer,RC17,2017-2018,Rugby Championship
Tomás Lavanini,RC17,2017-2018,Rugby Championship
Brodie Retallick,RC17,2017-2018,Rugby Championship
Enrique Pieretto,RC17,2017-2018,Rugby Championship
Matt Todd,RC17,2017-2018,Rugby Championship
Luke Romano,RC17,2017-2018,Rugby Championship
Agustín Creevy,RC17,2017-2018,Rugby Championship
Tom Robertson,RC17,2017-2018,Rugby Championship
Jesse Kriel,RC17,2017-2018,Rugby Championship
Beauden Barrett,RC17,2017-2018,Rugby Championship
Ardie Savea,RC17,2017-2018,Rugby Championship
David Havili,RC17,2017-2018,Rugby Championship
Rieko Ioane,RC17,2017-2018,Rugby Championship
Guido Petti,RC17,2017-2018,Rugby Championship
Matías Alemanno,RC17,2017-2018,Rugby Championship
Codie Taylor,RC17,2017-2018,Rugby Championship
Tomás Cubelli,RC17,2017-2018,Rugby Championship
Ryan Crotty,RC17,2017-2018,Rugby Championship
TJ Perenara,RC17,2017-2018,Rugby Championship
Curtis Rona,RC17,2017-2018,Rugby Championship
Jordan Uelese,RC17,2017-2018,Rugby Championship
Lopeti Timani,RC17,2017-2018,Rugby Championship
Adam Coleman,RC17,2017-2018,Rugby Championship
Bongi Mbonambi,RC17,2017-2018,Rugby Championship
Elton Jantjies,RC17,2017-2018,Rugby Championship
Nicolás Sánchez,RC17,2017-2018,Rugby Championship
Kane Hames,RC17,2017-2018,Rugby Championship
Chiliboy Ralepelle,RC17,2017-2018,Rugby Championship
Ned Hanigan,RC17,2017-2018,Rugby Championship
Owen Franks,RC17,2017-2018,Rugby Championship
Joaquín Tuculet,RC17,2017-2018,Rugby Championship
Juan Martín Hernández,RC17,2017-2018,Rugby Championship
Emiliano Boffelli,RC17,2017-2018,Rugby Championship
Kieran Read,RC17,2017-2018,Rugby Championship
Liam Squire,RC17,2017-2018,Rugby Championship
Rudy Paige,RC17,2017-2018,Rugby Championship
Ofa Tu'ungafasi,RC17,2017-2018,Rugby Championship
Sean McMahon,RC17,2017-2018,Rugby Championship
Dane Coles,RC17,2017-2018,Rugby Championship
Henry Speight,RC17,2017-2018,Rugby Championship
Coenie Oosthuizen,RC17,2017-2018,Rugby Championship
Benjamín Macome,RC17,2017-2018,Rugby Championship
Tevita Kuridrani,RC17,2017-2018,Rugby Championship
Wilco Louw,RC17,2017-2018,Rugby Championship
Ben Smith,RC17,2017-2018,Rugby Championship
Manuel Montero,RC17,2017-2018,Rugby Championship
Allan Alaalatoa,RC17,2017-2018,Rugby Championship
Steven Kitshoff,RC17,2017-2018,Rugby Championship
Rory Arnold,RC17,2017-2018,Rugby Championship
Sam Whitelock,RC17,2017-2018,Rugby Championship
Franco Mostert,RC17,2017-2018,Rugby Championship
Eben Etzebeth,RC17,2017-2018,Rugby Championship
Tendai Mtawarira,RC17,2017-2018,Rugby Championship
Tawera Kerr-Barlow,RC17,2017-2018,Rugby Championship
Gonzalo Bertranou,RC17,2017-2018,Rugby Championship
Dane Haylett-Petty,RC17,2017-2018,Rugby Championship
Aaron Smith,RC17,2017-2018,Rugby Championship
Wyatt Crockett,RC17,2017-2018,Rugby Championship
Francois Louw,RC17,2017-2018,Rugby Championship
Curwin Bosch,RC17,2017-2018,Rugby Championship
Ramiro Herrera,RC17,2017-2018,Rugby Championship
Josua Tuisova,EOY17,2017-2018,End of Year Internationals
Yoann Huget,EOY17,2017-2018,End of Year Internationals
Romain Taofifénua,EOY17,2017-2018,End of Year Internationals
Endy Willian,EOY17,2017-2018,End of Year Internationals
Sonny Bill Williams,EOY17,2017-2018,End of Year Internationals
Lucas Muller,EOY17,2017-2018,End of Year Internationals
Jale Vatubua,EOY17,2017-2018,End of Year Internationals
Tudorel Bratu,EOY17,2017-2018,End of Year Internationals
Kuselo Moyake,EOY17,2017-2018,End of Year Internationals
Peter Malcolm,EOY17,2017-2018,End of Year Internationals
Andrew Porter,EOY17,2017-2018,End of Year Internationals
Marcel Coetzee,EOY17,2017-2018,End of Year Internationals
Mateo Sanguinetti,EOY17,2017-2018,End of Year Internationals
Ruan Ludick,EOY17,2017-2018,End of Year Internationals
Tim Swinson,EOY17,2017-2018,End of Year Internationals
Karmichael Hunt,EOY17,2017-2018,End of Year Internationals
Courtnall Skosan,EOY17,2017-2018,End of Year Internationals
Bryce Campbell,EOY17,2017-2018,End of Year Internationals
Fotu Lokotui,EOY17,2017-2018,End of Year Internationals
Hallam Amos,EOY17,2017-2018,End of Year Internationals
Vereniki Goneva,EOY17,2017-2018,End of Year Internationals
Sione Faka'osilea,EOY17,2017-2018,End of Year Internationals
Nick Isiekwe,EOY17,2017-2018,End of Year Internationals
Luke Whitelock,EOY17,2017-2018,End of Year Internationals
Nate Augspurger,EOY17,2017-2018,End of Year Internationals
Huluholo Moungaloa,EOY17,2017-2018,End of Year Internationals
Marco Lazzaroni,EOY17,2017-2018,End of Year Internationals
Romain Pinte,EOY17,2017-2018,End of Year Internationals
Ruan Dreyer,EOY17,2017-2018,End of Year Internationals
Konstantin Mikautadze,EOY17,2017-2018,End of Year Internationals
Merab Sharikadze,EOY17,2017-2018,End of Year Internationals
Nick Phipps,EOY17,2017-2018,End of Year Internationals
Beka Bitsadze,EOY17,2017-2018,End of Year Internationals
Damian Stevens,EOY17,2017-2018,End of Year Internationals
Erik Marks,EOY17,2017-2018,End of Year Internationals
Levani Botia,EOY17,2017-2018,End of Year Internationals
Nathan Hughes,EOY17,2017-2018,End of Year Internationals
Nicolás Freitas,EOY17,2017-2018,End of Year Internationals
Jerónimo de la Fuente,EOY17,2017-2018,End of Year Internationals
Diego Magno,EOY17,2017-2018,End of Year Internationals
Gastón Mieres,EOY17,2017-2018,End of Year Internationals
Franco Velarde,EOY17,2017-2018,End of Year Internationals
Simon Berghan,EOY17,2017-2018,End of Year Internationals
Shalva Mamukashvili,EOY17,2017-2018,End of Year Internationals
David Barrera Howarth,EOY17,2017-2018,End of Year Internationals
Sekope Kepu,EOY17,2017-2018,End of Year Internationals
Sonatane Takulua,EOY17,2017-2018,End of Year Internationals
Gela Aprasidze,EOY17,2017-2018,End of Year Internationals
Paul Weiss,EOY17,2017-2018,End of Year Internationals
Anthony Luca,EOY17,2017-2018,End of Year Internationals
Giorgi Tkhilaishvili,EOY17,2017-2018,End of Year Internationals
Scott Spedding,EOY17,2017-2018,End of Year Internationals
Maama Vaipulu,EOY17,2017-2018,End of Year Internationals
Pele Cowley,EOY17,2017-2018,End of Year Internationals
Henry Seniloli,EOY17,2017-2018,End of Year Internationals
Tetera Faulkner,EOY17,2017-2018,End of Year Internationals
Michael Leitch,EOY17,2017-2018,End of Year Internationals
Elliot Daly,EOY17,2017-2018,End of Year Internationals
Pat Parfrey,EOY17,2017-2018,End of Year Internationals
Alvar Gimeno,EOY17,2017-2018,End of Year Internationals
Damian McKenzie,EOY17,2017-2018,End of Year Internationals
Michael Hooper,EOY17,2017-2018,End of Year Internationals
Andrew Ferguson,EOY17,2017-2018,End of Year Internationals
Theuns Kotzé,EOY17,2017-2018,End of Year Internationals
Yoshikazu Fujita,EOY17,2017-2018,End of Year Internationals
Fili Lomani,EOY17,2017-2018,End of Year Internationals
Gauthier Gibouin,EOY17,2017-2018,End of Year Internationals
Paul Jedrasiak,EOY17,2017-2018,End of Year Internationals
Fernando Martin López Perez,EOY17,2017-2018,End of Year Internationals
André Arruda,EOY17,2017-2018,End of Year Internationals
Adriaan Booysen,EOY17,2017-2018,End of Year Internationals
Edoardo Gori,EOY17,2017-2018,End of Year Internationals
Lucas Guillaume,EOY17,2017-2018,End of Year Internationals
Giorgi Koshadze,EOY17,2017-2018,End of Year Internationals
