first_name,last_name,full_name,nationality,player_url,2017-2018_team,2017-2018_avg_min,2018-2019_team,2018-2019_avg_min,2021-2022_team,2021-2022_avg_min,2022-2023_team,2022-2023_avg_min,2023-2024_team,2023-2024_avg_min,2024-2025_team,2024-2025_avg_min
Johannes,JONKER,Johannes Jonker,Afrique du Sud,https://prod2.lnr.fr/joueur/10917-johannes-jonker,Montpellier Hérault Rugby,51.7,,,,,,,,,FC Grenoble Rugby,50.0
Brandon Julio Tiute,NANSEN,Brandon Julio Tiute Nansen,Nouvelle Zélande,https://prod2.lnr.fr/joueur/10988-brandon-julio-tiute-nansen,Stade Français Paris,62.2,,,,,,,,,FC Grenoble Rugby,55.0
Giorgi,PERTAIA,Giorgi Pertaia,Géorgie,https://prod2.lnr.fr/joueur/12402-giorgi-pertaia,,,,,,,,,,,FC Grenoble Rugby,34.0
Giorgi,JAVAKHIA,Giorgi Javakhia,Géorgie,https://prod2.lnr.fr/joueur/1621-giorgi-javakhia,,,,,,,,,FC Grenoble Rugby,40.0,FC Grenoble Rugby,44.0
Marc,PALMIER,Marc Palmier,France,https://prod2.lnr.fr/joueur/1632-marc-palmier,,,,,,,,,,,FC Grenoble Rugby,8.0
Tommy,RAYNAUD,Tommy Raynaud,France,https://prod2.lnr.fr/joueur/1694-tommy-raynaud,Oyonnax Rugby,45.9,,,,,,,Oyonnax Rugby,54.5,FC Grenoble Rugby,15.0
Barnabé,COUILLOUD,Barnabé Couilloud,France,https://prod2.lnr.fr/joueur/249-barnabe-couilloud,,,,,Biarritz Olympique PB,48.8,,,FC Grenoble Rugby,23.0,FC Grenoble Rugby,70.0
Julien,HERITEAU,Julien Heriteau,France,https://prod2.lnr.fr/joueur/685-julien-heriteau,SU Agen,61.5,SU Agen,75.2,RC Toulon,70.9,ASM Clermont,48.4,ASM Clermont,56.9,FC Grenoble Rugby,55.0
Zack,GAUTHIER,Zack Gauthier,France,https://prod2.lnr.fr/joueur/859-zack-gauthier,,,,,,,,,FC Grenoble Rugby,42.0,FC Grenoble Rugby,69.0
Hugo,TROUILLOUD,Hugo Trouilloud,France,https://prod2.lnr.fr/joueur/877-hugo-trouilloud,,,,,,,,,FC Grenoble Rugby,18.0,FC Grenoble Rugby,84.0
Antonin,BERRUYER,Antonin Berruyer,France,https://prod2.lnr.fr/joueur/883-antonin-berruyer,,,FC Grenoble Rugby,36.7,,,,,,,FC Grenoble Rugby,84.0
