match_id,match_date,match_time,home_score,away_score,home_tries,away_tries,home_possession,away_possession,home_territory,away_territory,home_possession_own_half,away_possession_own_half,home_possession_opponent_half,away_possession_opponent_half,home_possession_opponent_22,away_possession_opponent_22,home_scrums_played,away_scrums_played,home_scrums_won,away_scrums_won,home_scrums_lost,away_scrums_lost,home_scrums_reset,away_scrums_reset,home_lineouts_played,away_lineouts_played,home_lineouts_own_won,away_lineouts_own_won,home_lineouts_opponents_won,away_lineouts_opponents_won,home_knockons,away_knockons,home_penalties_scored,away_penalties_scored,home_penalties_conceded,away_penalties_conceded,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,home_tackles_made,away_tackles_made,home_tackles_off_made,away_tackles_off_made,home_tackles_missed,away_tackles_missed,home_kicks,away_kicks,home_passes,away_passes,home_line_breaks,away_line_breaks,home_offloads,away_offloads,home_turnovers,away_turnovers,home_bonus_points,away_bonus_points,referee
8289,2018-05-18,21:00,19,19,1.0,2.0,50.0,50.0,55.0,45.0,48.0,52.0,45.0,55.0,54.0,46.0,9.0,9.0,7.0,4.0,0.0,2.0,2.0,3.0,20.0,17.0,13.0,15.0,0.0,1.0,9.0,9.0,4.0,3.0,8.0,16.0,1.0,1.0,0.0,0.0,113.0,258.0,10.0,24.0,15.0,32.0,25.0,22.0,197.0,93.0,6.0,2.0,13.0,3.0,0.0,0.0,0,0,
8290,2018-05-19,16:15,11,23,1.0,2.0,50.0,50.0,54.0,46.0,61.0,39.0,47.0,53.0,53.0,47.0,4.0,9.0,3.0,3.0,0.0,3.0,1.0,3.0,17.0,8.0,10.0,5.0,1.0,1.0,13.0,8.0,2.0,3.0,8.0,11.0,0.0,0.0,0.0,1.0,134.0,285.0,20.0,18.0,15.0,41.0,12.0,24.0,208.0,103.0,4.0,4.0,10.0,6.0,0.0,0.0,0,0,Romain Poite
8291,2018-05-25,21:00,40,14,4.0,1.0,50.0,50.0,47.0,53.0,48.0,52.0,55.0,45.0,47.0,53.0,13.0,4.0,9.0,2.0,1.0,0.0,3.0,2.0,6.0,19.0,6.0,17.0,0.0,0.0,4.0,12.0,4.0,3.0,13.0,8.0,1.0,1.0,0.0,0.0,113.0,103.0,11.0,9.0,11.0,19.0,28.0,18.0,76.0,108.0,3.0,2.0,6.0,7.0,0.0,0.0,1,0,Pascal Gauzere
8292,2018-05-26,16:45,14,19,2.0,1.0,50.0,50.0,44.0,56.0,76.0,24.0,59.0,41.0,45.0,55.0,12.0,11.0,5.0,8.0,2.0,1.0,5.0,2.0,9.0,16.0,5.0,14.0,2.0,1.0,12.0,3.0,0.0,4.0,11.0,11.0,1.0,1.0,0.0,0.0,128.0,150.0,12.0,10.0,18.0,21.0,16.0,22.0,95.0,92.0,3.0,0.0,13.0,7.0,0.0,0.0,1,0,Alexandre Ruiz
8293,2018-06-02,20:45,13,29,0.0,2.0,50.0,50.0,54.0,46.0,48.0,52.0,46.0,54.0,53.0,47.0,5.0,7.0,3.0,5.0,0.0,1.0,2.0,1.0,12.0,12.0,10.0,10.0,0.0,0.0,5.0,4.0,2.0,5.0,9.0,12.0,0.0,1.0,0.0,0.0,127.0,166.0,19.0,8.0,15.0,17.0,19.0,21.0,109.0,91.0,1.0,0.0,4.0,3.0,0.0,0.0,0,0,Jerome Garces
8288,2018-05-12,14:45,47,22,7.0,3.0,50.0,50.0,46.0,54.0,40.0,60.0,54.0,46.0,48.0,52.0,11.0,0.0,8.0,0.0,0.0,0.0,3.0,0.0,9.0,15.0,6.0,10.0,2.0,1.0,6.0,13.0,0.0,1.0,10.0,10.0,0.0,0.0,0.0,0.0,204.0,184.0,29.0,27.0,26.0,20.0,24.0,10.0,149.0,168.0,2.0,5.0,9.0,17.0,0.0,0.0,1,0,Laurent Cardona
8723,2019-05-31,21:00,13,19,1.0,1.0,50.0,50.0,60.0,40.0,65.0,35.0,43.0,57.0,58.0,42.0,8.0,16.0,4.0,9.0,0.0,1.0,4.0,6.0,15.0,15.0,14.0,11.0,1.0,0.0,12.0,3.0,2.0,4.0,10.0,10.0,1.0,0.0,0.0,0.0,109.0,219.0,7.0,20.0,15.0,27.0,9.0,20.0,176.0,90.0,2.0,2.0,11.0,6.0,0.0,0.0,1,0,Mathieu Raynal
8724,2019-06-01,17:00,21,16,2.0,1.0,50.0,50.0,44.0,56.0,42.0,58.0,55.0,45.0,44.0,56.0,10.0,13.0,6.0,8.0,0.0,0.0,4.0,5.0,13.0,14.0,11.0,11.0,2.0,0.0,11.0,6.0,3.0,3.0,10.0,10.0,0.0,0.0,0.0,0.0,110.0,122.0,10.0,20.0,13.0,17.0,34.0,29.0,121.0,120.0,2.0,2.0,8.0,7.0,0.0,0.0,0,1,Alexandre Ruiz
8726,2019-06-08,21:00,20,6,3.0,0.0,50.0,50.0,62.0,38.0,62.0,38.0,36.0,64.0,61.0,39.0,11.0,12.0,8.0,6.0,1.0,1.0,2.0,5.0,8.0,13.0,7.0,10.0,1.0,1.0,4.0,11.0,1.0,2.0,7.0,11.0,0.0,0.0,0.0,0.0,196.0,220.0,20.0,21.0,23.0,29.0,22.0,12.0,162.0,150.0,3.0,4.0,8.0,14.0,0.0,0.0,1,0,Pascal Gauzere
8727,2019-06-09,16:30,33,13,3.0,2.0,50.0,50.0,45.0,55.0,55.0,45.0,53.0,47.0,46.0,54.0,13.0,9.0,9.0,5.0,0.0,2.0,4.0,2.0,12.0,15.0,8.0,14.0,1.0,1.0,6.0,10.0,4.0,1.0,9.0,15.0,1.0,1.0,0.0,0.0,150.0,92.0,20.0,8.0,32.0,25.0,17.0,14.0,113.0,125.0,5.0,2.0,6.0,9.0,0.0,0.0,0,0,Romain Poite
8728,2019-06-15,20:45,24,18,2.0,0.0,50.0,50.0,62.0,38.0,67.0,33.0,38.0,62.0,61.0,39.0,17.0,10.0,8.0,8.0,3.0,0.0,6.0,2.0,7.0,11.0,5.0,7.0,1.0,0.0,7.0,12.0,4.0,6.0,9.0,7.0,1.0,0.0,0.0,0.0,146.0,149.0,9.0,21.0,22.0,23.0,18.0,19.0,118.0,165.0,3.0,2.0,11.0,13.0,0.0,0.0,0,1,Jerome Garces
8725,2019-06-02,15:15,28,22,3.0,1.0,50.0,50.0,40.0,60.0,65.0,35.0,59.0,41.0,36.0,64.0,8.0,14.0,4.0,7.0,1.0,2.0,3.0,5.0,6.0,13.0,3.0,10.0,3.0,1.0,8.0,7.0,0.0,5.0,14.0,8.0,2.0,1.0,0.0,0.0,162.0,113.0,20.0,14.0,22.0,19.0,16.0,19.0,83.0,163.0,5.0,6.0,7.0,9.0,0.0,0.0,0,1,Tual Trainini
9923,2022-06-11,21:05,33,28,4.0,4.0,50.0,50.0,50.0,50.0,48.0,52.0,49.0,51.0,51.0,49.0,10.0,4.0,4.0,3.0,3.0,1.0,3.0,0.0,9.0,12.0,8.0,11.0,0.0,0.0,1.0,5.0,3.0,0.0,11.0,9.0,0.0,0.0,0.0,0.0,138.0,75.0,7.0,4.0,26.0,11.0,28.0,15.0,85.0,153.0,4.0,2.0,7.0,11.0,3.0,2.0,0,1,Romain Poite
