match_id,match_date,match_time,home_score,away_score,home_tries,away_tries,home_possession,away_possession,home_territory,away_territory,home_possession_own_half,away_possession_own_half,home_possession_opponent_half,away_possession_opponent_half,home_possession_opponent_22,away_possession_opponent_22,home_scrums_played,away_scrums_played,home_scrums_won,away_scrums_won,home_scrums_lost,away_scrums_lost,home_scrums_reset,away_scrums_reset,home_lineouts_played,away_lineouts_played,home_lineouts_own_won,away_lineouts_own_won,home_lineouts_opponents_won,away_lineouts_opponents_won,home_knockons,away_knockons,home_penalties_scored,away_penalties_scored,home_penalties_conceded,away_penalties_conceded,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,home_tackles_made,away_tackles_made,home_tackles_off_made,away_tackles_off_made,home_tackles_missed,away_tackles_missed,home_kicks,away_kicks,home_passes,away_passes,home_line_breaks,away_line_breaks,home_offloads,away_offloads,home_turnovers,away_turnovers,home_bonus_points,away_bonus_points
8289,2018-05-18,21:00,19,19,1,2,50,50,55,45,48,52,45,55,54,46,9,9,7,4,0,2,2,3,20,17,13,15,0,1,9,9,4,3,8,16,1,1,0,0,113,258,10,24,15,32,25,22,197,93,1,1,4,1,0,0,0,0
8290,2018-05-19,16:15,11,23,1,2,50,50,54,46,61,39,47,53,53,47,4,9,3,3,0,3,1,3,17,8,10,5,1,1,13,8,2,3,8,11,0,0,0,1,134,285,20,18,15,41,12,24,208,103,2,1,4,1,0,0,0,0
8291,2018-05-25,21:00,40,14,4,1,50,50,47,53,48,52,55,45,47,53,13,4,9,2,1,0,3,2,6,19,6,17,0,0,4,12,4,3,13,8,1,1,0,0,113,103,11,9,11,19,28,18,76,108,0,1,0,3,0,0,1,0
8292,2018-05-26,16:45,14,19,2,1,50,50,44,56,76,24,59,41,45,55,12,11,5,8,2,1,5,2,9,16,5,14,2,1,12,3,0,4,11,11,1,1,0,0,128,150,12,10,18,21,16,22,95,92,0,0,8,5,0,0,1,0
8293,2018-06-02,20:45,13,29,0,2,50,50,54,46,48,52,46,54,53,47,5,7,3,5,0,1,2,1,12,12,10,10,0,0,5,4,2,5,9,12,0,1,0,0,127,166,19,8,15,17,19,21,109,91,0,0,0,1,0,0,0,0
8288,2018-05-12,14:45,47,22,7,3,50,50,46,54,40,60,54,46,48,52,11,0,8,0,0,0,3,0,9,15,6,10,2,1,6,13,0,1,10,10,0,0,0,0,204,184,29,27,26,20,24,10,149,168,1,2,5,8,0,0,1,0
8723,2019-05-31,21:00,13,19,1,1,50,50,60,40,65,35,43,57,58,42,8,16,4,9,0,1,4,6,15,15,14,11,1,0,12,3,2,4,10,10,1,0,0,0,109,219,7,20,15,27,9,20,176,90,1,2,3,4,0,0,1,0
8724,2019-06-01,17:00,21,16,2,1,50,50,44,56,42,58,55,45,44,56,10,13,6,8,0,0,4,5,13,14,11,11,2,0,11,6,3,3,10,10,0,0,0,0,110,122,10,20,13,17,34,29,121,120,2,2,2,2,0,0,0,1
8726,2019-06-08,21:00,20,6,3,0,50,50,62,38,62,38,36,64,61,39,11,12,8,6,1,1,2,5,8,13,7,10,1,1,4,11,1,2,7,11,0,0,0,0,196,220,20,21,23,29,22,12,162,150,0,3,5,12,0,0,1,0
8727,2019-06-09,16:30,33,13,3,2,50,50,45,55,55,45,53,47,46,54,13,9,9,5,0,2,4,2,12,15,8,14,1,1,6,10,4,1,9,15,1,1,0,0,150,92,20,8,32,25,17,14,113,125,4,2,3,3,0,0,0,0
