match_id,match_date,match_time,home_score,away_score,home_tries,away_tries,home_possession,away_possession,home_territory,away_territory,home_possession_own_half,away_possession_own_half,home_possession_opponent_half,away_possession_opponent_half,home_possession_opponent_22,away_possession_opponent_22,home_scrums_played,away_scrums_played,home_scrums_won,away_scrums_won,home_scrums_lost,away_scrums_lost,home_scrums_reset,away_scrums_reset,home_lineouts_played,away_lineouts_played,home_lineouts_own_won,away_lineouts_own_won,home_lineouts_opponents_won,away_lineouts_opponents_won,home_knockons,away_knockons,home_penalties_scored,away_penalties_scored,home_penalties_conceded,away_penalties_conceded,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,home_tackles_made,away_tackles_made,home_tackles_off_made,away_tackles_off_made,home_tackles_missed,away_tackles_missed,home_kicks,away_kicks,home_passes,away_passes,home_line_breaks,away_line_breaks,home_offloads,away_offloads,home_turnovers,away_turnovers,home_bonus_points,away_bonus_points
8106,2017-08-26,15:10,23,23,2,2,50,50,61,39,58,42,40,60,59,41,16,5,9,5,2,0,5,0,17,5,8,4,0,5,5,11,3,3,8,9,0,1,0,0,120,193,7,17,11,19,15,17,171,122,2,1,1,3,0,0,0,0
8107,2017-08-26,18:00,10,19,1,3,50,50,53,47,60,40,47,53,53,47,10,10,7,7,0,0,3,3,21,11,18,9,0,0,10,11,1,0,7,16,2,2,0,0,136,170,12,24,26,21,13,21,104,148,1,3,1,6,0,0,0,0
8656,2019-02-23,18:00,13,20,1,2,50,50,48,52,58,42,51,49,49,51,10,9,4,4,2,1,4,4,11,13,5,9,1,3,7,7,2,2,9,12,0,1,0,0,135,180,18,9,25,23,13,17,127,116,1,2,5,7,0,0,1,0
9904,2022-04-30,17:00,21,42,2,5,50,50,51,49,61,39,49,51,52,48,8,2,2,2,3,0,3,0,14,16,11,15,0,1,2,3,3,3,14,12,3,1,0,0,169,63,6,0,29,17,17,18,88,164,4,3,3,2,3,3,0,1
9905,2022-04-30,17:00,27,10,3,1,50,50,61,39,33,67,35,65,59,41,5,6,4,5,1,0,0,1,14,14,11,11,2,3,4,5,2,1,16,8,1,1,0,0,122,126,3,5,19,24,23,23,133,127,4,1,4,10,3,3,0,0
129,2023-02-25,17:00,43,7,6,1,50,50,57,43,64,36,43,57,59,41,9,9,6,7,0,1,3,1,15,8,12,7,1,2,2,4,1,0,5,12,0,1,0,0,110,140,7,8,20,40,30,24,187,144,5,4,16,10,3,2,1,0
130,2023-02-25,17:00,45,11,5,1,50,50,38,62,33,67,64,36,41,59,5,6,5,3,0,1,0,2,12,12,8,10,1,1,4,3,4,2,7,14,0,0,0,0,132,96,10,10,20,26,30,22,109,132,6,2,15,4,5,3,1,0
10285,2023-11-04,15:00,19,17,1,2,44,56,41,59,32,68,59,41,42,58,13,11,10,8,3,2,0,1,11,19,6,12,3,2,8,7,4,1,10,8,0,0,0,0,112,52,5,3,7,12,32,31,65,78,7,0,5,0,3,0,0,1
10283,2023-11-04,17:00,26,22,2,3,47,53,47,53,40,60,49,51,49,51,9,6,7,4,1,1,1,1,10,13,8,10,0,0,3,7,4,1,11,10,0,0,0,0,155,119,9,6,23,26,24,24,142,166,1,4,2,10,2,4,0,1
11057,2025-06-14,18:00,11,13,1,1,50,50,50,50,50,50,50,50,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
