season,id,date
2021-2022,21_22_R1,2021-12-11
2021-2022,21_22_R2,2021-12-18
2021-2022,21_22_R3,2022-01-15
2021-2022,21_22_R4,2022-01-22
2021-2022,21_22_R5,2022-04-09
2021-2022,21_22_R6,2022-04-16
2021-2022,21_22_R7,2022-05-08
2021-2022,21_22_R8,2022-05-15
2021-2022,21_22_R9,2022-05-28
2022-2023,22_23_R1,2022-12-10
2022-2023,22_23_R2,2022-12-17
2022-2023,22_23_R3,2023-01-14
2022-2023,22_23_R4,2023-01-21
2022-2023,22_23_R5,2023-04-01
2022-2023,22_23_R6,2023-04-08
2022-2023,22_23_R7,2023-04-29
2022-2023,22_23_R8,2023-05-20
2023-2024,23_24_R1,2023-12-09
2023-2024,23_24_R2,2023-12-16
2023-2024,23_24_R3,2024-01-13
2023-2024,23_24_R4,2024-01-20
2023-2024,23_24_R5,2024-04-06
2023-2024,23_24_R6,2024-04-13
2023-2024,23_24_R7,2024-05-04
2023-2024,23_24_R8,2024-05-25
2024-2025,24_25_R1,2024-12-08
2024-2025,24_25_R2,2024-12-15
2024-2025,24_25_R3,2025-01-11
2024-2025,24_25_R4,2025-01-18
2024-2025,24_25_R5,2025-04-05
2024-2025,24_25_R6,2025-04-12
2024-2025,24_25_R7,2025-05-03
2024-2025,24_25_R8,2025-05-24
2025-2026,25_26_R1,2025-12-06
2025-2026,25_26_R2,2025-12-13
2025-2026,25_26_R3,2026-01-10
2025-2026,25_26_R4,2026-01-17
2025-2026,25_26_R5,2026-04-05
2025-2026,25_26_R6,2026-04-12
2025-2026,25_26_R7,2026-05-03
2025-2026,25_26_R8,2026-05-23
