season,round,rugby_championship,european_congestion,autumn_matches,6nations,world_cup,pacific_cup
2017-2018,1,0,0,0,0,,
2017-2018,2,0,0,0,0,,
2017-2018,3,0,0,0,0,,
2017-2018,4,0,0,0,0,,
2017-2018,5,0,0,0,0,,
2017-2018,6,0,0,0,0,,
2017-2018,7,0,0,0,0,,
2017-2018,8,0,0,0,0,,
2017-2018,9,0,0,0,0,,
2017-2018,10,0,0,0,0,,
2017-2018,11,0,0,0,0,,
2017-2018,12,0,0,0,0,,
2017-2018,13,0,0,0,0,,
2017-2018,14,0,0,0,0,,
2017-2018,15,0,0,0,0,,
2017-2018,16,0,0,0,0,,
2017-2018,17,0,0,0,0,,
2017-2018,18,0,0,0,0,,
2017-2018,19,0,0,0,0,,
2017-2018,20,0,0,0,0,,
2017-2018,21,0,0,0,0,,
2017-2018,22,0,0,0,0,,
2017-2018,23,0,0,0,0,,
2017-2018,24,0,0,0,0,,
2017-2018,25,0,0,0,0,,
2017-2018,26,0,0,0,0,,
2017-2018,27,0,0,0,0,,
2017-2018,28,0,0,0,0,,
2017-2018,29,0,0,0,0,,
2017-2018,30,0,0,0,0,,
2018-2019,1,0,0,0,0,,
2018-2019,2,0,0,0,0,,
2018-2019,3,0,0,0,0,,
2018-2019,4,0,0,0,0,,
2018-2019,5,0,0,0,0,,
2018-2019,6,0,0,0,0,,
2018-2019,7,0,0,0,0,,
2018-2019,8,0,0,0,0,,
2018-2019,9,0,0,0,0,,
2018-2019,10,0,0,0,0,,
2018-2019,11,0,0,0,0,,
2018-2019,12,0,0,0,0,,
2018-2019,13,0,0,0,0,,
2018-2019,14,0,0,0,0,,
2018-2019,15,0,0,0,0,,
2018-2019,16,0,0,0,0,,
2018-2019,17,0,0,0,0,,
2018-2019,18,0,0,0,0,,
2018-2019,19,0,0,0,0,,
2018-2019,20,0,0,0,0,,
2018-2019,21,0,0,0,0,,
2018-2019,22,0,0,0,0,,
2018-2019,23,0,0,0,0,,
2018-2019,24,0,0,0,0,,
2018-2019,25,0,0,0,0,,
2018-2019,26,0,0,0,0,,
2018-2019,27,0,0,0,0,,
2018-2019,28,0,0,0,0,,
2018-2019,29,0,0,0,0,,
2018-2019,30,0,0,0,0,,
2021-2022,1,0,0,0,0,,
2021-2022,2,0,0,0,0,,
2021-2022,3,0,0,0,0,,
2021-2022,4,0,0,0,0,,
2021-2022,5,0,0,0,0,,
2021-2022,6,0,0,0,0,,
2021-2022,7,0,0,0,0,,
2021-2022,8,0,0,0,0,,
2021-2022,9,0,0,0,0,,
2021-2022,10,0,0,0,0,,
2021-2022,11,0,0,0,0,,
2021-2022,12,0,0,0,0,,
2021-2022,13,0,0,0,0,,
2021-2022,14,0,0,0,0,,
2021-2022,15,0,0,0,0,,
2021-2022,16,0,0,0,0,,
2021-2022,17,0,0,0,0,,
2021-2022,18,0,0,0,0,,
2021-2022,19,0,0,0,0,,
2021-2022,20,0,0,0,0,,
2021-2022,21,0,0,0,0,,
2021-2022,22,0,0,0,0,,
2021-2022,23,0,0,0,0,,
