match_id,season,round,venue,home_team,away_team,url
9923,2021-2022,27,Stade Ernest-Wallon,Stade Toulousain,Stade Rochelais,https://top14.lnr.fr/feuille-de-match/2021-2022/barrages/9923-toulouse-la-rochelle
9924,2021-2022,27,Stade Chaban-Delmas,Union Bordeaux-Bègles,Racing 92,https://top14.lnr.fr/feuille-de-match/2021-2022/barrages/9924-bordeaux-begles-racing-92
9925,2021-2022,28,Allianz Riviera,Castres Olympique,Stade Toulousain,https://top14.lnr.fr/feuille-de-match/2021-2022/demi-finales/9925-castres-toulouse
9926,2021-2022,28,Allianz Riviera,Montpellier Hérault Rugby ,Union Bordeaux-Bègles,https://top14.lnr.fr/feuille-de-match/2021-2022/demi-finales/9926-montpellier-bordeaux-begles
9927,2021-2022,29,Stade de France,Castres Olympique,Montpellier Hérault Rugby ,https://top14.lnr.fr/feuille-de-match/2021-2022/finale/9927-castres-montpellier
9922,2021-2022,30,Stade André et Guy Boniface,Stade Montois,USA Perpignan,https://top14.lnr.fr/feuille-de-match/2021-2022/match-daccession/9922-mont-de-marsan-perpignan
10244,2022-2023,27,Stade Jean-Bouin,Stade Français Paris,Racing 92,https://top14.lnr.fr/feuille-de-match/2022-2023/barrage/10244-paris-racing-92
10246,2022-2023,27,Stade de Gerland,LOU Rugby,Union Bordeaux-Bègles,https://top14.lnr.fr/feuille-de-match/2022-2023/barrage/10246-lyon-bordeaux-begles
10249,2022-2023,28,Reale Arena,Stade Toulousain,Racing 92,https://top14.lnr.fr/feuille-de-match/2022-2023/demi-finale/10249-toulouse-racing-92
10251,2022-2023,28,Reale Arena,Stade Rochelais,Union Bordeaux-Bègles,https://top14.lnr.fr/feuille-de-match/2022-2023/demi-finale/10251-la-rochelle-bordeaux-begles
10252,2022-2023,29,Stade de France,Stade Toulousain,Stade Rochelais,https://top14.lnr.fr/feuille-de-match/2022-2023/finale/10252-toulouse-la-rochelle
10253,2022-2023,30,Stade des Alpes,FC Grenoble Rugby,USA Perpignan,https://top14.lnr.fr/feuille-de-match/2022-2023/access/10253-grenoble-perpignan
10779,2023-2024,27,Stade Mayol,RC Toulon,Stade Rochelais,https://top14.lnr.fr/feuille-de-match/2023-2024/barrage/10779-toulon-la-rochelle
10780,2023-2024,27,Stade Chaban-Delmas,Union Bordeaux-Bègles,Racing 92,https://top14.lnr.fr/feuille-de-match/2023-2024/barrage/10780-bordeaux-begles-racing-92
10781,2023-2024,28,Stade Matmut-Atlantique,Stade Toulousain,Stade Rochelais,https://top14.lnr.fr/feuille-de-match/2023-2024/demi-finale/10781-toulouse-la-rochelle
10783,2023-2024,28,Stade Matmut-Atlantique,Stade Français Paris,Union Bordeaux-Bègles,https://top14.lnr.fr/feuille-de-match/2023-2024/demi-finale/10783-paris-bordeaux-begles
10782,2023-2024,29,Orange Velodrome,Stade Toulousain,Union Bordeaux-Bègles,https://top14.lnr.fr/feuille-de-match/2023-2024/finale/10782-toulouse-bordeaux-begles
10254,2023-2024,30,Stade des Alpes,FC Grenoble Rugby,Montpellier Hérault Rugby ,https://top14.lnr.fr/feuille-de-match/2023-2024/access-top-14/10254-grenoble-montpellier
10912,2024-2025,27,Stade Jean-Dauger,Aviron Bayonnais,ASM Clermont,https://top14.lnr.fr/feuille-de-match/2024-2025/barrage/10912-bayonne-clermont
10917,2024-2025,27,Stade Mayol,RC Toulon,Castres Olympique,https://top14.lnr.fr/feuille-de-match/2024-2025/barrage/10917-toulon-castres
11054,2024-2025,28,Parc OL,Stade Toulousain,Aviron Bayonnais,https://top14.lnr.fr/feuille-de-match/2024-2025/demi-finale/11054-toulouse-bayonne
11055,2024-2025,28,Parc OL,Union Bordeaux-Bègles,RC Toulon,https://top14.lnr.fr/feuille-de-match/2024-2025/demi-finale/11055-bordeaux-begles-toulon
11056,2024-2025,29,Stade de France,Stade Toulousain,Union Bordeaux-Bègles,https://top14.lnr.fr/feuille-de-match/2024-2025/finale/11056-toulouse-bordeaux-begles
11057,2024-2025,30,Stade des Alpes,FC Grenoble Rugby,USA Perpignan,https://top14.lnr.fr/feuille-de-match/2024-2025/access-top-14/11057-grenoble-perpignan
11795,2025-2026,27,Stade du Hameau,Section Paloise,Racing 92,https://top14.lnr.fr/feuille-de-match/2025-2026/barrage/11795-pau-racing-92
11796,2025-2026,27,Stade Jean-Bouin,Stade Français Paris,Stade Rochelais,https://top14.lnr.fr/feuille-de-match/2025-2026/barrage/11796-paris-la-rochelle
11797,2025-2026,28,Orange Velodrome,Stade Toulousain,Racing 92,https://top14.lnr.fr/feuille-de-match/2025-2026/demi-finale/11797-toulouse-racing-92
11798,2025-2026,28,Orange Velodrome,Montpellier Hérault Rugby ,Stade Français Paris,https://top14.lnr.fr/feuille-de-match/2025-2026/demi-finale/11798-montpellier-paris
11800,2025-2026,29,Stade de France,Stade Toulousain,Montpellier Hérault Rugby ,https://top14.lnr.fr/feuille-de-match/2025-2026/finale/11800-toulouse-montpellier
11799,2025-2026,30,Stade Maurice David,Provence Rugby,USA Perpignan,https://top14.lnr.fr/feuille-de-match/2025-2026/access-top-14/11799-provence-rugby-perpignan
