first_name,last_name,nationality,player_url,2017-2018_team,2017-2018_avg_min,2018-2019_team,2018-2019_avg_min,2021-2022_team,2021-2022_avg_min,2022-2023_team,2022-2023_avg_min,2023-2024_team,2023-2024_avg_min,2024-2025_team,2024-2025_avg_min
Thomas,BERJON,France,https://top14.lnr.fr/joueur/1004-thomas-berjon,,,,,,,,,,,,
Georges Henri,COLOMBE REAZEL,France,https://top14.lnr.fr/joueur/1009-georges-henri-colombe-reazel,,,,,,,,,,,,
Noe,DELLA SCHIAVA,France,https://top14.lnr.fr/joueur/1013-noe-della-schiava,,,,,,,,,,,,
Jules,FAVRE,France,https://top14.lnr.fr/joueur/1018-jules-favre,,,,,,,,,,,,
Hikairo,FORBES,Nouvelle Zélande,https://top14.lnr.fr/joueur/10197-hikairo-forbes,,,,,,,,,,,,
Benjamin,LAPEYRE,France,https://top14.lnr.fr/joueur/10201-benjamin-lapeyre,,,,,,,,,,,,
Thomas,PLOYET,France,https://top14.lnr.fr/joueur/1024-thomas-ployet,,,,,,,,,,,,
Hoani,TUI,Nouvelle Zélande,https://top14.lnr.fr/joueur/10252-hoani-tui,,,,,,,,,,,,
Davit,NINIASHVILI,Géorgie,https://top14.lnr.fr/joueur/1034-davit-niniashvili,,,,,,,,,,,,
Semi Tani Qerelevu,KUNABULI,Fidji,https://top14.lnr.fr/joueur/10340-semi-tani-qerelevu-kunabuli,,,,,,,,,,,,
Liam,RIMET,France,https://top14.lnr.fr/joueur/1038-liam-rimet,,,,,,,,,,,,
Lima,SOPOAGA,Nouvelle Zélande,https://top14.lnr.fr/joueur/1042-lima-sopoaga,,,,,,,,,,,,
David Michael,RYAN,Irlande,https://top14.lnr.fr/joueur/10441-david-michael-ryan,,,,,,,,,,,,
Tavite,VEREDAMU,France,https://top14.lnr.fr/joueur/1047-tavite-veredamu,,,,,,,,,,,,
Liam,COLTMAN,Nouvelle Zélande,https://top14.lnr.fr/joueur/1048-liam-coltman,,,,,,,,,,,,
Feao,FOTUAIKA,Nouvelle Zélande,https://top14.lnr.fr/joueur/1056-feao-fotuaika,,,,,,,,,,,,
Mitchell,INMAN,Australie,https://top14.lnr.fr/joueur/10660-mitchell-inman,,,,,,,,,,,,
Loïc,HOCQUET,France,https://top14.lnr.fr/joueur/10683-loic-hocquet,,,,,,,,,,,,
Matthew,HOPPER,Angleterre,https://top14.lnr.fr/joueur/10729-matthew-hopper,,,,,,,,,,,,
Josiah Meihana,MARAKU,Nouvelle Zélande,https://top14.lnr.fr/joueur/1074-josiah-meihana-maraku,,,,,,,,,,,,
Joel,KPOKU,Angleterre,https://top14.lnr.fr/joueur/1075-joel-kpoku,,,,,,,,,,,,
Arno,BOTHA,Afrique du Sud,https://top14.lnr.fr/joueur/1077-arno-botha,,,,,,,,,,,,
Dylan,CRETIN,France,https://top14.lnr.fr/joueur/1078-dylan-cretin,,,,,,,,,,,,
Simiuela Timote,VAKA,Nouvelle Zélande,https://top14.lnr.fr/joueur/10784-simiuela-timote-vaka,,,,,,,,,,,,
Léo,BERDEU,France,https://top14.lnr.fr/joueur/1081-leo-berdeu,,,,,,,,,,,,
Vivien,DEVISME,France,https://top14.lnr.fr/joueur/1082-vivien-devisme,,,,,,,,,,,,
Paul,PEREZ,Samoa américain,https://top14.lnr.fr/joueur/10859-paul-perez-1,,,,,,,,,,,,
Toby,ARNOLD,Nouvelle Zélande,https://top14.lnr.fr/joueur/1090-toby-arnold,,,,,,,,,,,,
Jean Marc,DOUSSAIN,France,https://top14.lnr.fr/joueur/1091-jean-marc-doussain,,,,,,,,,,,,
Johannes,JONKER,Afrique du Sud,https://top14.lnr.fr/joueur/10917-johannes-jonker,,,,,,,,,,,,
Paulo,TAFILI,France,https://top14.lnr.fr/joueur/1094-paulo-tafili,,,,,,,,,,,,
Brandon Julio Tiute,NANSEN,Nouvelle Zélande,https://top14.lnr.fr/joueur/10988-brandon-julio-tiute-nansen,,,,,,,,,,,,
Sébastien,TAOFIFENUA,France,https://top14.lnr.fr/joueur/1100-sebastien-taofifenua,,,,,,,,,,,,
Josua,TUISOVA,Fidji,https://top14.lnr.fr/joueur/1102-josua-tuisova,,,,,,,,,,,,
Mateo,GARCIA,France,https://top14.lnr.fr/joueur/11027-mateo-garcia,,,,,,,,,,,,
Patrick,SOBELA,France,https://top14.lnr.fr/joueur/1103-patrick-sobela,,,,,,,,,,,,
Killian,GERACI,France,https://top14.lnr.fr/joueur/1105-killian-geraci,,,,,,,,,,,,
Yanis,CHARCOSSET,France,https://top14.lnr.fr/joueur/1118-yanis-charcosset,,,,,,,,,,,,
Theo,WILLIAM,France,https://top14.lnr.fr/joueur/1122-theo-william,,,,,,,,,,,,
Valentin,MORO,France,https://top14.lnr.fr/joueur/11222-valentin-moro,,,,,,,,,,,,
Mickaël,GUILLARD,France,https://top14.lnr.fr/joueur/1123-mickael-guillard,,,,,,,,,,,,
Justin,BOURAUX,France,https://top14.lnr.fr/joueur/11284-justin-bouraux,,,,,,,,,,,,
Temo Sukayawa,MAYANAVANUA,Fidji,https://top14.lnr.fr/joueur/1129-temo-sukayawa-mayanavanua,,,,,,,,,,,,
Teddy,DURAND,France,https://top14.lnr.fr/joueur/11435-teddy-durand,,,,,,,,,,,,
Lotima,FAINGAANUKU,Tonga,https://top14.lnr.fr/joueur/11581-lotima-faingaanuku,,,,,,,,,,,,
Benjamin,WHITE,Grande-Bretagne,https://top14.lnr.fr/joueur/11845-benjamin-white,,,,,,,,,,,,
Marvin,ORIE,Afrique du Sud,https://top14.lnr.fr/joueur/11905-marvin-orie-1,,,,,,,,,,,,
Hugo Domingo,MIOTTI,Italie,https://top14.lnr.fr/joueur/11987-hugo-domingo-miotti,,,,,,,,,,,,
Ignacio,RUIZ,Italie,https://top14.lnr.fr/joueur/11989-ignacio-ruiz,,,,,,,,,,,,
Giorgi,PERTAIA,Géorgie,https://top14.lnr.fr/joueur/12402-giorgi-pertaia,,,,,,,,,,,,
Michael,FALEAFA,Nouvelle Zélande,https://top14.lnr.fr/joueur/1260-michael-faleafa,,,,,,,,,,,,
Jean Victor,GOILLOT,France,https://top14.lnr.fr/joueur/132-jean-victor-goillot,,,,,,,,,,,,
Jean Bernard,PUJOL,France,https://top14.lnr.fr/joueur/1326-jean-bernard-pujol,,,,,,,,,,,,
Simon-pierre,CHAUVAC,France,https://top14.lnr.fr/joueur/1423-simon-pierre-chauvac,,,,,,,,,,,,
Jeremie,MAUROUARD,France,https://top14.lnr.fr/joueur/1433-jeremie-maurouard,,,,,,,,,,,,
Florian,VERHAEGHE,France,https://top14.lnr.fr/joueur/1438-florian-verhaeghe,,,,,,,,,,,,
Enzo,FORLETTA,France,https://top14.lnr.fr/joueur/1440-enzo-forletta,,,,,,,,,,,,
Gela,APRASIDZE,Géorgie,https://top14.lnr.fr/joueur/1447-gela-aprasidze,,,,,,,,,,,,
Jarrod,POI,Nouvelle Zélande,https://top14.lnr.fr/joueur/151-jarrod-poi,,,,,,,,,,,,
Giorgi,JAVAKHIA,Géorgie,https://top14.lnr.fr/joueur/1621-giorgi-javakhia,,,,,,,,,,,,
Marc,PALMIER,France,https://top14.lnr.fr/joueur/1632-marc-palmier,,,,,,,,,,,,
Darren Anthony,SWEETNAM,Irlande,https://top14.lnr.fr/joueur/1662-darren-anthony-sweetnam,,,,,,,,,,,,
Loïc,CREDOZ,France,https://top14.lnr.fr/joueur/1678-loic-credoz,,,,,,,,,,,,
Sitiveni,MAFI,Australie,https://top14.lnr.fr/joueur/1681-sitiveni-mafi,,,,,,,,,,,,
Wandrille,PICAULT,France,https://top14.lnr.fr/joueur/1684-wandrille-picault,,,,,,,,,,,,
Pedro,BETTENCOURT,Portugal,https://top14.lnr.fr/joueur/1689-pedro-bettencourt,,,,,,,,,,,,
